"diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_2_heat","diffusion_output_2_rank","diffusion_output_3_heat","diffusion_output_3_rank","diffusion_output_4_heat","diffusion_output_4_rank","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","3.346505940083404E-8","19803","4.412962162174314E-8","19801","2.515476707181084E-8","19811","3.657877771245898E-8","19803","4.260992398398178E-8","19794","TRIM61","false","TRIM61"
"0.0","3.632063994721009E-8","19802","3.7788613576587974E-8","19807","3.635409929341856E-8","19806","3.462059064638832E-8","19806","1.2810254330631056E-8","19809","C6orf1","false","C6orf1"
"0.0","3.4977739098571104E-7","19730","3.295022364845185E-7","19737","3.374702212295931E-7","19734","2.7349446386764553E-7","19733","3.0388310106962925E-7","19730","BEST3","false","BEST3"
"0.0","1.728169031970739E-7","19773","1.803842007463759E-7","19770","1.7592376310461563E-7","19767","1.556025725411362E-7","19765","1.6467004946612374E-7","19767","ETV3L","false","ETV3L"
"0.0","1.947293069980828E-7","19762","2.0160397940862859E-7","19763","1.739059175322295E-7","19772","1.502235487529022E-7","19770","2.077481196108733E-7","19757","OR4F29","false","OR4F29"
"0.0","1.947293069980828E-7","19761","2.0160397940862859E-7","19762","1.739059175322295E-7","19771","1.502235487529022E-7","19769","2.077481196108733E-7","19756","OR4F16","false","OR4F16"
"0.0","1.947293069980828E-7","19760","2.0160397940862859E-7","19761","1.739059175322295E-7","19770","1.502235487529022E-7","19768","2.077481196108733E-7","19755","OR4F3","false","OR4F3"
"0.0","1.947293069980828E-7","19759","2.0160397940862859E-7","19760","1.739059175322295E-7","19769","1.502235487529022E-7","19767","2.077481196108733E-7","19754","OR5AS1","false","OR5AS1"
"0.0","1.0430073214979601E-5","18645","1.0433526608639755E-5","18834","4.5256775741976105E-7","19715","1.0361522350857956E-5","18317","1.0317039386897728E-5","18420","ZNF883","false","ZNF883"
"0.0","1.4170607920702413E-5","18081","7.53657663121867E-6","19164","7.581560874774019E-6","19159","1.4183596480621251E-5","17776","1.4118862611306352E-5","17969","AGMO","false","AGMO"
"0.0","7.501509770586225E-7","19662","7.926727113686003E-7","19664","7.562801424574671E-7","19661","7.488119758976546E-7","19642","6.931360624384575E-7","19659","POU5F2","false","POU5F2"
"0.0","1.2346651338925346E-5","18307","1.1761062840563536E-5","18435","1.1164553878438865E-5","18499","1.0890642661335712E-5","18213","1.0591483651836619E-5","18381","CDRT1","false","CDRT1"
"0.0","1.2346651338925346E-5","18306","1.1761062840563536E-5","18434","1.1164553878438865E-5","18498","1.0890642661335712E-5","18212","1.0591483651836619E-5","18380","SRGAP2C","false","SRGAP2C"
"0.0","1.2346651338925346E-5","18305","1.1761062840563536E-5","18433","1.1164553878438865E-5","18497","1.0890642661335712E-5","18211","1.0591483651836619E-5","18379","ARL2-SNX15","false","ARL2-SNX15"
"0.0","1.2346651338925346E-5","18304","1.1761062840563536E-5","18432","1.1164553878438865E-5","18496","1.0890642661335712E-5","18210","1.0591483651836619E-5","18378","SPECC1L-ADORA2A","false","SPECC1L-ADORA2A"
"0.0","1.2346651338925346E-5","18303","1.1761062840563536E-5","18431","1.1164553878438865E-5","18495","1.0890642661335712E-5","18209","1.0591483651836619E-5","18377","MRGPRF","false","MRGPRF"
"0.0","4.6819211382791784E-5","15426","3.235923470207825E-5","16493","1.6220201981699697E-5","17863","4.680825951653733E-5","15052","4.6732512635028535E-5","15240","DEFB108B","false","DEFB108B"
"0.0","1.7288575765907342E-7","19772","1.786498312761721E-7","19771","1.7570318293366938E-7","19768","1.4602622091700037E-7","19772","1.529594215536771E-7","19771","CDC14C","false","CDC14C"
"0.0","8.764206453661484E-7","19643","8.873059396885005E-7","19648","7.720422210962643E-7","19657","8.76344447130472E-7","19607","8.180901055605233E-7","19634","MUC6","false","MUC6"
"0.0","8.764206453661484E-7","19642","8.873059396885005E-7","19647","7.720422210962643E-7","19656","8.76344447130472E-7","19606","8.180901055605233E-7","19633","ZNF730","false","ZNF730"
"0.0","8.764206453661484E-7","19641","8.873059396885005E-7","19646","7.720422210962643E-7","19655","8.76344447130472E-7","19605","8.180901055605233E-7","19632","MT1L","false","MT1L"
"0.0","1.1076110353305755E-6","19596","8.553946012502286E-6","19098","8.577864877523251E-6","18843","8.359089932205941E-6","18836","8.291043727173142E-6","18935","LKAAEAR1","false","LKAAEAR1"
"0.0","7.0078995647481E-7","19667","7.332946436665247E-7","19674","7.37290317571142E-7","19667","5.549661697290147E-7","19683","6.460361276961723E-7","19670","HCG11","false","HCG11"
"0.0","9.491662716490908E-6","18735","9.481327632529777E-6","19003","9.419668769843055E-6","18772","9.53034885598363E-6","18615","2.5638447331750146E-7","19743","RTP1","false","RTP1"
"0.0","2.6714757745045366E-7","19747","2.5857910728100235E-7","19749","2.6162491973077237E-7","19750","2.286354773739241E-7","19748","2.361214760639244E-7","19750","OR52W1","false","OR52W1"
"0.0","8.679912289172726E-6","18795","9.574243087697713E-7","19633","8.767035906711313E-6","18828","8.738131795733811E-6","18795","8.73202914569003E-6","18893","ENTPD8","false","ENTPD8"
"0.0","4.4574319070025145E-8","19799","5.402614359807628E-8","19799","4.5378470435669235E-8","19799","3.714554548630271E-8","19802","4.183054035899585E-8","19795","UGT2A1","false","UGT2A1"
