"diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_2_heat","diffusion_output_2_rank","diffusion_output_3_heat","diffusion_output_3_rank","diffusion_output_4_heat","diffusion_output_4_rank","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","2.1978594875755243E-8","19815","2.3854955428574233E-8","19814","2.28201007662397E-8","19815","2.0918877939695967E-8","19814","2.180950667680639E-8","19814","OR2T12","false","OR2T12"
"0.0","4.865221381572936E-7","19790","3.941565061821387E-7","19795","4.5378906050869354E-7","19791","3.877795517558497E-7","19790","3.846514237038835E-7","19792","POTEH","false","POTEH"
"0.0","8.52871104372205E-7","19777","8.959961029937003E-7","19778","8.752254398406444E-7","19774","5.250742127247149E-7","19788","6.610979339071648E-7","19782","SPDYE3","false","SPDYE3"
"0.0","4.848333690234671E-7","19791","3.5345463816292496E-5","18110","3.533081529594233E-5","18030","3.529858058044095E-5","17863","3.498370211824177E-5","17982","VNN3","false","VNN3"
"0.0","2.0848169746198344E-5","18897","2.0830995949005127E-5","19179","2.1325749637749502E-5","18921","1.4267679502134121E-5","19235","1.874593400195318E-5","19093","LOC100996747","false","LOC100996747"
"0.0","4.839604425749034E-7","19792","6.671425705569824E-7","19785","6.592617433166056E-7","19785","7.692418298841315E-7","19777","5.735137897812787E-7","19785","GPR19","false","GPR19"
"0.0","2.1118157936621906E-7","19801","2.8887981000655675E-7","19802","2.866510339454063E-7","19801","2.4857207075175603E-7","19802","1.694974762287908E-7","19805","OR4A15","false","OR4A15"
"0.0","2.9978194431655904E-7","19798","4.3382146607931884E-7","19792","3.1264912581486966E-7","19797","3.0570332795264963E-7","19795","4.250515290717699E-7","19788","PRIMA1","false","PRIMA1"
"0.0","1.1717854819869613E-5","19393","1.1473257322723153E-5","19434","1.1594322361520476E-5","19423","9.52218536259417E-6","19385","9.660543725357914E-6","19429","KRT8P3","false","KRT8P3"
"0.0","1.1636128693041132E-7","19809","2.098172463828487E-7","19809","2.091511716588349E-7","19807","1.1084547523451829E-7","19810","2.0807094068219248E-7","19802","OR52E6","false","OR52E6"
"0.0","9.710734580566042E-7","19770","9.314581430465843E-7","19775","1.1660183840763743E-6","19759","1.044437645495991E-6","19761","1.0430597050992562E-6","19762","OR6N1","false","OR6N1"
"0.0","1.8743872274432516E-7","19806","2.3718044948745102E-7","19807","1.576746486632192E-7","19809","2.0039278220032243E-7","19806","2.239659650415006E-7","19799","TRIM61","false","TRIM61"
"0.0","2.4398699169351145E-7","19800","2.5847027877965054E-7","19804","2.4425049768272643E-7","19805","2.3266278666748554E-7","19804","1.2923724491543972E-7","19808","C6orf1","false","C6orf1"
"0.0","2.0134142755301027E-6","19728","1.953544193041739E-6","19735","1.9505736922854085E-6","19729","1.7040648511620071E-6","19732","1.815573465260219E-6","19728","BEST3","false","BEST3"
"0.0","9.963660385235237E-7","19767","1.0260091298065035E-6","19769","1.022062958995132E-6","19769","9.473793932381769E-7","19766","9.238642200683871E-7","19768","ETV3L","false","ETV3L"
"0.0","1.1321307727328224E-6","19761","1.2041289329357727E-6","19761","1.05202670414944E-6","19766","9.614411324229311E-7","19765","1.2145129328387647E-6","19756","OR4F29","false","OR4F29"
"0.0","1.1321307727328224E-6","19760","1.2041289329357727E-6","19760","1.05202670414944E-6","19765","9.614411324229311E-7","19764","1.2145129328387647E-6","19755","OR4F16","false","OR4F16"
"0.0","1.1321307727328224E-6","19759","1.2041289329357727E-6","19759","1.05202670414944E-6","19764","9.614411324229311E-7","19763","1.2145129328387647E-6","19754","OR4F3","false","OR4F3"
"0.0","1.1321307727328224E-6","19758","1.2041289329357727E-6","19758","1.05202670414944E-6","19763","9.614411324229311E-7","19762","1.2145129328387647E-6","19753","OR5AS1","false","OR5AS1"
"0.0","3.43640233918747E-5","18116","3.435803537685887E-5","18216","2.3488666385494868E-6","19721","3.4077334938993654E-5","17906","3.3893630252097373E-5","18023","ZNF883","false","ZNF883"
"0.0","3.5609276604967776E-5","18083","2.0193082792034694E-5","19199","2.0284723341847754E-5","18949","3.580778046694136E-5","17800","3.541069153677091E-5","17964","AGMO","false","AGMO"
"0.0","4.107307640113526E-6","19656","4.3361722894419765E-6","19659","4.0687797969016995E-6","19659","4.202418516773441E-6","19629","3.832675271008975E-6","19655","POU5F2","false","POU5F2"
"0.0","2.5765991200099945E-5","18579","2.5168362810059614E-5","18661","2.4148506158912303E-5","18732","2.371775741820301E-5","18526","2.3389802774429884E-5","18621","CDRT1","false","CDRT1"
"0.0","2.5765991200099945E-5","18578","2.5168362810059614E-5","18660","2.4148506158912303E-5","18731","2.371775741820301E-5","18525","2.3389802774429884E-5","18620","SRGAP2C","false","SRGAP2C"
"0.0","2.5765991200099945E-5","18577","2.5168362810059614E-5","18659","2.4148506158912303E-5","18730","2.371775741820301E-5","18524","2.3389802774429884E-5","18619","ARL2-SNX15","false","ARL2-SNX15"
"0.0","2.5765991200099945E-5","18576","2.5168362810059614E-5","18658","2.4148506158912303E-5","18729","2.371775741820301E-5","18523","2.3389802774429884E-5","18618","SPECC1L-ADORA2A","false","SPECC1L-ADORA2A"
"0.0","2.5765991200099945E-5","18575","2.5168362810059614E-5","18657","2.4148506158912303E-5","18728","2.371775741820301E-5","18522","2.3389802774429884E-5","18617","MRGPRF","false","MRGPRF"
"0.0","1.2503384338490787E-4","15317","8.923303451885998E-5","16264","4.529161009677432E-5","17568","1.2529241047390657E-4","15096","1.2473705883158252E-4","15172","DEFB108B","false","DEFB108B"
"0.0","8.125700283543705E-7","19779","8.270925522022827E-7","19779","8.103253205494165E-7","19777","7.121844661163864E-7","19779","7.017069304111507E-7","19779","CDC14C","false","CDC14C"
"0.0","4.786959594574417E-6","19627","4.83563478773197E-6","19639","4.105796525382707E-6","19656","4.844914180972198E-6","19603","4.485794974952581E-6","19622","MUC6","false","MUC6"
"0.0","4.786959594574417E-6","19626","4.83563478773197E-6","19638","4.105796525382707E-6","19655","4.844914180972198E-6","19602","4.485794974952581E-6","19621","ZNF730","false","ZNF730"
"0.0","4.786959594574417E-6","19625","4.83563478773197E-6","19637","4.105796525382707E-6","19654","4.844914180972198E-6","19601","4.485794974952581E-6","19620","MT1L","false","MT1L"
"0.0","5.3032420693496725E-6","19603","2.387797015784269E-5","18797","2.3976686394700032E-5","18736","2.3172677193480533E-5","18580","2.2711016496695076E-5","18641","LKAAEAR1","false","LKAAEAR1"
"0.0","3.5351221235027667E-6","19672","3.669737798104927E-6","19681","3.6990551528408448E-6","19671","2.9744858146330102E-6","19685","3.2499088480682733E-6","19674","HCG11","false","HCG11"
"0.0","2.976396540274643E-5","18362","2.965065404067122E-5","18472","2.934089209962896E-5","18434","2.996997967469538E-5","18123","1.529983557926809E-6","19739","RTP1","false","RTP1"
"0.0","1.5279573524841286E-6","19745","1.4810725800785116E-6","19749","1.4901364815238232E-6","19750","1.3852112898156534E-6","19745","1.3286348468244513E-6","19749","OR52W1","false","OR52W1"
"0.0","2.5078786710540113E-5","18618","5.2224072448896325E-6","19622","2.5542985971623198E-5","18629","2.5453632163134165E-5","18411","2.5345561129747087E-5","18497","ENTPD8","false","ENTPD8"
"0.0","1.9540427972415306E-7","19803","2.3325021881190003E-7","19808","1.9937580431766182E-7","19808","1.6853208250322897E-7","19807","1.887697809081968E-7","19803","UGT2A1","false","UGT2A1"
"0.0","4.648671719754711E-7","19793","4.2796700549768763E-7","19793","4.0317489945123903E-7","19793","2.9003245476821766E-7","19799","4.0974198554178526E-7","19790","CNTN6","false","CNTN6"
"0.0","5.618558239933034E-7","19789","5.713064900331859E-7","19791","4.803958685966447E-7","19790","3.752330762034201E-7","19791","4.210124607456328E-7","19789","DEFB104B","false","DEFB104B"
"0.0","3.693600824182667E-7","19796","3.8185077850096277E-7","19797","3.646573425190228E-7","19795","3.0189959552698524E-7","19796","2.2439472992841515E-7","19798","UGT2A2","false","UGT2A2"
"0.0","1.9657295478482593E-6","19729","1.9910499784255717E-6","19733","1.9711896174812746E-6","19728","1.6357401111569133E-6","19734","1.8008573131461314E-6","19729","POTED","false","POTED"
"0.0","1.348233461925614E-6","19753","1.343000344308118E-6","19753","1.504954102128439E-6","19749","1.3485854070613157E-6","19750","1.4557349230379774E-6","19744","PPIAL4E","false","PPIAL4E"
"0.0","1.7206594123960222E-6","19736","1.785240797696622E-6","19739","1.7542913828319297E-6","19739","1.6274434530875816E-6","19735","1.7437303294625805E-6","19731","OR51B5","false","OR51B5"
"0.0","5.281299495512811E-6","19605","5.634566073689154E-6","19608","5.752928751391897E-6","19595","4.85143466906413E-6","19600","4.498061647725655E-6","19619","PCDHGA8","false","PCDHGA8"
"0.0","1.5540523535407857E-5","19208","2.935729194770746E-5","18478","2.9284626673350246E-5","18440","2.2582710519808806E-5","18611","2.815535861778358E-5","18381","RPS17P16","false","RPS17P16"
"0.0","1.5540523535407857E-5","19207","2.935729194770746E-5","18477","2.9284626673350246E-5","18439","2.2582710519808806E-5","18610","2.815535861778358E-5","18380","ZNF117","false","ZNF117"
